Date,TT,ST,CiT,AT,FT,IT
2014-06,1732.27047,633.315285,38.516541,3.853212,80.790188,678.094798
2014-07,1341.833095,623.699686,42.890069,4.42006,80.472996,506.938581
2014-08,1267.664794,616.205119,34.03106,3.760298,78.584731,491.408133
2014-09,1765.360197,611.536279,39.23603,3.073638,83.437747,722.364133
2014-10,1371.796297,616.521346,41.183205,5.212889,73.827698,538.199164
2014-11,1324.613213,592.043874,28.782963,3.508235,82.270745,554.857877
2014-12,1597.218779,617.115848,44.904326,4.481073,77.132402,561.537701
2015-01,1676.412341,693.147001,31.832658,1.26141,79.342071,788.046363
2015-02,1037.220798,539.801119,29.781959,5.484129,77.224925,301.68186
2015-03,1349.826415,531.459273,36.325212,1.561172,77.403596,518.471554
2015-04,2204.308112,603.707973,34.397744,4.945444,89.461822,1117.224474
2015-05,1377.877484,610.906559,35.343924,3.742037,79.662657,534.274416
2015-06,1780.194053,621.587377,40.555304,4.61324,82.772574,716.575053
2015-07,1332.709345,613.233498,40.736687,4.545595,79.772421,526.644246
2015-08,1394.127144,616.158502,38.780832,3.753222,82.296018,588.25643
2015-09,1649.638833,613.692788,40.677703,3.840929,86.223091,617.999764
2015-10,1406.99921,601.618526,37.118429,4.492712,75.217056,616.379008
2015-11,1373.503619,599.475167,33.831846,4.091507,80.474373,583.394315
2015-12,1559.458917,595.241175,42.423756,4.38373,84.067868,575.544902
2016-01,1744.580241,704.688911,29.137209,4.112601,72.655861,831.975848
2016-02,1010.701333,543.077114,33.349465,2.905241,75.346908,297.476779
2016-03,1372.076367,566.299257,37.398007,3.533627,85.746158,479.449632
2016-04,2169.791622,621.904637,34.610433,4.706792,88.710498,1073.938371
2016-05,1433.451333,603.263777,34.145782,3.71175,74.2098,618.093561
2016-06,1716.017746,626.975738,40.999732,4.232001,90.593482,672.73297
2016-07,1359.416212,637.812998,36.438034,4.832586,77.552084,537.320924
2016-08,1431.308587,635.042591,40.363501,3.51235,76.021785,604.042666
2016-09,1747.803295,624.06216,38.090834,3.946621,88.874751,728.18977
2016-10,1481.697212,629.570552,35.949013,4.875773,78.164937,653.27038
2016-11,1332.024712,600.347203,38.621245,3.961922,79.610154,539.026705
2016-12,1604.234923,617.301381,36.068467,5.486615,88.113323,607.378972
2017-01,1801.031102,739.249597,34.82693,4.232791,73.827543,880.013478
2017-02,1091.54569,573.141247,26.459469,2.57684,75.116845,330.757011
2017-03,1393.128206,577.106363,36.216395,3.148955,83.144783,509.473279
2017-04,2193.01037,647.247234,32.9116,4.408257,92.637957,1064.250586
2017-05,1530.740485,630.099938,39.795066,3.906944,76.236652,680.125448
2017-06,1783.517041,646.157408,38.610142,4.513138,94.95289,69.923323
2017-07,1475.868954,665.194872,35.388975,5.33978,82.528268,633.559429
2017-08,1422.076807,639.746032,40.495612,3.587234,141.313131,562.571428
2017-09,1814.980208,649.107745,38.507921,5.007177,154.386359,756.933151
2017-10,1550.424485,645.854866,37.868768,3.970944,129.981763,676.552479
2017-11,1415.98393,629.778264,30.693606,3.097872,132.532145,565.596754
2017-12,1683.721828,626.0613,34.501335,6.263473,134.808295,664.853072
2018-01,2019.700004,752.262238,35.600867,3.142014,131.548727,1054.55219
2018-02,1180.764182,589.834403,29.148225,4.58022,124.631815,361.202907
2018-03,1447.898677,587.885475,29.222356,3.30166,132.176586,580.630951
2018-04,2455.254477,675.064486,36.696353,4.476171,147.233378,1277.959214
2018-05,1485.577894,641.705065,33.587905,3.638835,123.814437,601.693093
2018-06,1937.531429,693.091651,36.629342,5.172476,141.967967,738.81459
2018-07,1603.088912,696.692895,36.056677,4.649559,138.986854,663.817329
2018-08,1477.672885,678.593701,38.500154,4.181103,134.271265,580.130521
2018-09,1995.69812,673.007216,34.722572,3.173849,139.083565,855.424401
2018-10,1576.278161,688.708811,35.776533,6.222737,140.375141,626.792958
2018-11,1473.19359,637.176922,32.987241,3.673562,137.285753,570.365071
2018-12,1845.625402,686.953776,34.726582,4.904214,143.096518,711.867387
